"claim_id","theme","claim","relation","source","scope","note"
"C001","行为门槛","行为并不只由动机决定，还受能力和机会约束","supports-framework","michie2011behaviour","行为改变框架","框架适合诊断，但尚未证明三个成分的充分性或固定交互形式"
"C002","意向","只要增强意向，就会产生等量行为改变","conflicts","webb2006intention","47个随机或准随机实验","意向变化d=.66，行为变化d=.36"
"C003","计划行为","TPB能完整解释人的实际行为","qualifies","armitage2001tpbmeta","185项独立研究","解释约39%的意向差异和27%的行为差异，客观行为更低"
"C004","期望价值","期望、工具性和效价必须相乘才能最好预测表现","conflicts-strong-version","vaneerde1996vroom","77项工作动机研究","完整乘法未稳定优于单独成分，意向预测强于实际表现"
"C005","自我效能","提高自我效能会稳定提高未来表现","qualifies-reverse-causality","sitzmann2013selfefficacy","个体内元分析","过去表现到后续效能通常强于效能到未来表现"
"C006","目标设定","具体困难目标通常提高简单或熟练任务表现","supports","mento1987goalmeta","历史元分析","语料较旧且多为短期、易量化任务"
"C007","目标设定","具体困难目标在所有任务上同样有效","conflicts","wood1987complexity","125项研究","复杂任务效应显著较弱，探索阶段可能更适合学习目标"
"C008","目标设定","目标增强的动力必然服务真正绩效","conflicts","schweitzer2004unethical","实验室实验","未达到具体目标者更可能虚报结果"
"C009","执行意图","if-then计划能帮助已有目标转成行动","supports","gollwitzer2006implementation","94个独立检验","不创造价值、技能、机会或承诺"
"C010","执行意图","执行意图在真实场景中的效果与早期实验同样大","qualifies","wang2021mcii","21项现场研究","现场综合效应较早期元分析小，并检测到发表偏差"
"C011","习惯","过去行为频率可以直接当作习惯","conflicts-measurement","ouellette1998habit","元分析与原始研究","频率混入稳定偏好、机会和环境"
"C012","习惯","21天可以普遍养成习惯","conflicts","lally2010habits","12周自然纵向研究","个体估计约18到254天，约66天也不是普遍期限"
"C013","习惯","习惯与意向只能二选一地控制行为","conflicts","hagger2023habitmeta","267项研究","习惯与意向各自独立预测行为"
"C014","时间折扣","时间折扣率是稳定、跨领域的短视人格常数","conflicts","frederick2002discounting","批判性综述","测量混入不确定性、流动性、情绪、金额、框架和信任"
"C015","奖励","预期有形奖励可能降低高兴趣任务撤奖后的自由选择","supports-conditional","deci1999rewards","128项实验","效应依赖奖励条件、初始兴趣和结果指标"
"C016","奖励","奖励普遍破坏所有内在动力","conflicts-strong-version","cameron2001rewards","元分析重新编码","显著负效应集中于特定高兴趣任务和奖励条件"
"C017","奖励","内在动机与外在激励必然互相抵消","conflicts","cerasoli2014intrinsic","183个样本","二者可共同预测，内在动机偏质量、外在激励偏数量"
"C018","奖励","健康行为可以直接套用拼图任务的奖励挤出结论","conflicts-generalization","promberger2013incentives","跨文献综述","许多健康行为并无高初始内在兴趣"
"C019","多巴胺","多巴胺就是快乐物质","conflicts-concept","schultz1997prediction;berridge1998incentive;salamone2024effort","动物神经、综述","预测误差、行动激活、wanting和liking属于不同层次"
"C020","奖励","wanting等于liking","conflicts","berridge2016liking;pool2016measurement","动物、临床与系统综述","分离最强证据集中于成瘾和动物，人类测量仍不统一"
"C021","好奇","具体信息缺口可以激发求知动力","supports-qualifies","loewenstein1994curiosity;kang2009curiosity","理论综述与实验","缺口过大、威胁自我或预期无解时也可能回避"
"C022","心流","挑战与技能匹配足以产生心流","conflicts-strong-version","fong2015flow","元分析","清晰目标、控制感、文化、场景和测量都改变关系"
"C023","心流","心流会单向导致更高表现","correlates-causal-unknown","harris2021flowperformance","系统综述与元分析","表现顺利也可能引起心流，或形成双向反馈"
"C024","无聊","无聊只是刺激太少","conflicts","westgate2018boredom","理论与实验","过易、过难、注意不匹配和缺乏意义都可能引发无聊"
"C025","无聊","无聊会促使人寻找更好的活动","qualifies","bench2019boredom","三项实验","无聊推动换状态，但也可能选择负面新奇体验"
"C026","恐惧","恐惧诉求平均可能小幅促进行为","supports-qualifies","tannenbaum2015fear","127篇、248个样本","效能信息、易感性、严重性和行动结构调节结果"
"C027","恐惧","威胁越强，行为改变越大","conflicts-strong-version","peters2013fear","严格重新分析","高效能时威胁才较可能产生正效果"
"C028","抗拒","自由威胁语言会提高即时心理抗拒","supports-small","rains2013reactance;li2026reactance","两项元分析","真实长期行为和重复暴露证据较少"
"C029","归属","社会排斥会产生即时归属威胁和心理受损","supports","hartgerink2015ostracism","120项Cyberball研究","主要是短时人工范式"
"C030","归属","被排斥后人必然寻求重新连接","conflicts-strong-version","maner2007reconnection","六项实验","是否接近取决于伙伴可接近性、拒绝预期和情境"
